age,county_name,N_patients,pct_pcv,suppressed,fips
age_1_2y,"SARATOGA,NY",574,55.7,0,36091
age_1_2y,"SHERBURNE,MN",531,57.4,0,27141
age_1_2y,"FAIRFIELD,CT",580,58.6,0,09001
age_1_2y,"SULLIVAN,TN",564,62.4,0,47163
age_1_2y,"FORSYTH,GA",501,50.3,0,13117
age_1_2y,"HUMBOLDT,CA",473,67.9,0,06023
age_1_2y,"ONEIDA,NY",467,58.2,0,36065
age_1_2y,"WAYNE,NY",481,68.8,0,36117
age_1_2y,"CHEMUNG,NY",492,80.1,0,36015
age_1_2y,"ANNEARUNDEL,MD",520,54.4,0,24003
age_1_2y,"WASHINGTON,TN",525,69.5,0,47179
age_1_2y,"RICHMOND,GA",553,40,0,13245
age_1_2y,"JACKSON,GA",440,59.1,0,13157
age_1_2y,"PUEBLO,CO",516,60.7,0,08101
age_1_2y,"BARROW,GA",452,52.9,0,13013
age_1_2y,"KANDIYOHI,MN",417,50.8,0,27067
age_1_2y,"MADISON,TN",479,55.5,0,47113
age_1_2y,"OTTERTAIL,MN",407,63.1,0,27111
age_1_2y,"WRIGHT,MN",433,49.9,0,27171
age_1_2y,"TOLLAND,CT",376,66.5,0,09013
age_1_2y,"PRINCEGEORGES,MD",528,55.5,0,NA
age_1_2y,"WINDHAM,CT",390,59.7,0,09015
age_1_2y,"HARFORD,MD",435,45.5,0,24025
age_1_2y,"GREENE,TN",419,56.1,0,47059
age_1_2y,"BELTRAMI,MN",398,71.6,0,27007
age_1_2y,"HABERSHAM,GA",421,58.4,0,13137
age_1_2y,"MONTGOMERY,MD",486,58.6,0,24031
age_1_2y,"COOS,OR",390,64.9,0,41011
age_1_2y,"LANE,OR",383,62.1,0,41039
age_1_2y,"WICOMICO,MD",393,53.4,0,24045
age_1_2y,"CHISAGO,MN",342,71.6,0,27025
age_1_2y,"SAINTLAWRENCE,NY",360,90.3,0,NA
age_1_2y,"COLUMBIA,GA",395,42.8,0,13073
age_1_2y,"TROUP,GA",382,58.1,0,13285
age_1_2y,"CHENANGO,NY",295,73.9,0,36017
age_1_2y,"BARTOW,GA",352,56.5,0,13015
age_1_2y,"ORANGE,NY",319,35.4,0,36071
age_1_2y,"SANTABARBARA,CA",314,82.8,0,06083
age_1_2y,"ITASCA,MN",332,68.7,0,27061
age_1_2y,"BRONX,NY",333,47.4,0,36005
age_1_2y,"TIOGA,NY",311,74.3,0,36107
age_1_2y,"CROWWING,MN",246,55.3,0,27035
age_1_2y,"BENTON,MN",315,54,0,27009
age_1_2y,"ERIE,NY",374,57,0,36029
age_1_2y,"LOWNDES,GA",368,28.3,0,13185
age_1_2y,"NAPA,CA",295,75.9,0,06055
age_1_2y,"WHITFIELD,GA",314,44.6,0,13313
age_1_2y,"KINGS,CA",323,55.4,0,06031
age_1_2y,"CARROLL,GA",313,63.3,0,13045
age_1_2y,"MESA,CO",298,51.7,0,08077
age_1_2y,"SANTACRUZ,CA",285,69.5,0,06087
age_1_2y,"POLK,MN",294,66.7,0,27119
age_1_2y,"BECKER,MN",275,62.9,0,27005
age_1_2y,"BENTON,OR",287,52.6,0,41003
age_1_2y,"LIVINGSTON,NY",242,66.9,0,36051
age_1_2y,"WALTON,GA",290,54.8,0,13297
age_1_2y,"UMATILLA,OR",299,66.9,0,41059
age_1_2y,"BROOMFIELD,CO",278,73.4,0,08014
age_1_2y,"OTSEGO,NY",238,66.8,0,36077
age_1_2y,"LITCHFIELD,CT",204,52.5,0,09005
age_1_2y,"DELAWARE,NY",236,72,0,36025
age_1_2y,"NEWTON,GA",274,54.4,0,13217
age_1_2y,"COLUMBIA,OR",242,58.7,0,41009
age_1_2y,"YOLO,CA",262,64.9,0,06113
age_1_2y,"CECIL,MD",246,44.3,0,24015
age_1_2y,"JACKSON,OR",250,44,0,41029
age_1_2y,"LINCOLN,OR",243,60.9,0,41041
age_1_2y,"BRADLEY,TN",295,45.1,0,47011
age_1_2y,"GORDON,GA",247,59.9,0,13129
age_1_2y,"MENDOCINO,CA",250,79.6,0,06045
age_1_2y,"DORCHESTER,MD",224,75.4,0,24019
age_1_2y,"STANISLAUS,CA",203,39.4,0,06099
age_1_2y,"SULLIVAN,NY",205,40.5,0,36105
age_1_2y,"YAMHILL,OR",254,65,0,41071
age_1_2y,"STEPHENS,GA",242,52.9,0,13257
age_1_2y,"ALLEGANY,NY",229,79.5,0,36003
age_1_2y,"KLAMATH,OR",228,53.9,0,41035
age_1_2y,"COWETA,GA",242,45.9,0,13077
age_1_2y,"MALHEUR,OR",216,77.8,0,41045
age_1_2y,"JEFFERSON,OR",226,58.8,0,41031
age_1_2y,"WASHINGTON,MD",198,48,0,24043
age_1_2y,"CROOK,OR",211,45.5,0,41013
age_1_2y,"COLUMBIA,NY",209,64.1,0,36021
age_1_2y,"RICHMOND,NY",241,34.9,0,36085
age_1_2y,"SHELBY,TN",198,51,0,47157
age_1_2y,"SCOTT,MN",197,55.3,0,27139
age_1_2y,"MORRISON,MN",201,63.2,0,27097
age_1_2y,"GENESEE,NY",195,61,0,36037
age_1_2y,"DAWSON,GA",210,54.8,0,13085
age_1_2y,"DYER,TN",193,80.8,0,47045
age_1_2y,"HAWKINS,TN",201,58.2,0,47073
age_1_2y,"WALKER,GA",212,50,0,13295
age_1_2y,"CARTER,TN",202,66.3,0,47019
age_1_2y,"ULSTER,NY",171,49.7,0,36111
age_1_2y,"MILLELACS,MN",200,67,0,27095
age_1_2y,"SPALDING,GA",196,52,0,13255
age_1_2y,"CLINTON,NY",163,63.2,0,36019
age_1_2y,"TODD,MN",198,52,0,27153
age_1_2y,"NOBLES,MN",188,84,0,27105
age_1_2y,"CASS,MN",185,58.4,0,27021
age_1_2y,"CAROLINE,MD",151,43.7,0,24011
age_1_2y,"WHITE,GA",157,54.8,0,13311
age_1_2y,"FAYETTE,GA",167,49.7,0,13113
age_1_2y,"CARLTON,MN",178,65.2,0,27017
age_1_2y,"CLARKE,GA",186,61.3,0,13059
age_1_2y,"WINONA,MN",170,72.4,0,27169
age_1_2y,"FLOYD,GA",187,58.3,0,13115
age_1_2y,"ROCKDALE,GA",159,42.8,0,13247
age_1_2y,"TALBOT,MD",153,50.3,0,24041
age_1_2y,"FRANKLIN,GA",164,56.1,0,13119
age_1_2y,"LUMPKIN,GA",143,58.7,0,13187
age_1_2y,"HERKIMER,NY",135,66.7,0,36043
age_1_2y,"HOWARD,MD",147,58.5,0,24027
age_1_2y,"ISANTI,MN",162,64.2,0,27059
age_1_2y,"SCHENECTADY,NY",153,69.3,0,36093
age_1_2y,"GREENE,NY",156,57.1,0,36039
age_1_2y,"BANKS,GA",157,49,0,13011
age_1_2y,"ROUTT,CO",157,77.7,0,08107
age_1_2y,"FRANKLIN,NY",136,66.9,0,36033
age_1_2y,"HUBBARD,MN",132,58.3,0,27057
age_1_2y,"CORTLAND,NY",97,60.8,0,36023
age_1_2y,"ROSEAU,MN",139,69.1,0,27135
age_1_2y,"GARRETT,MD",132,53.8,0,24023
age_1_2y,"MURRAY,GA",140,33.6,0,13213
age_1_2y,"CHARLES,MD",129,45,0,24017
age_1_2y,"CATOOSA,GA",147,48.3,0,13047
age_1_2y,"DOUGLAS,MN",131,67.9,0,27041
age_1_2y,"GIBSON,TN",136,43.4,0,47053
age_1_2y,"SCHOHARIE,NY",130,69.2,0,36095
age_1_2y,"WADENA,MN",119,46.2,0,27159
age_1_2y,"WASHINGTON,NY",113,47.8,0,36115
age_1_2y,"POLK,GA",116,52.6,0,13233
age_1_2y,"HOUSTON,MN",110,80,0,27055
age_1_2y,"REDWOOD,MN",119,47.9,0,27127
age_1_2y,"NIAGARA,NY",90,57.8,0,36063
age_1_2y,"ALLEGANY,MD",87,47.1,0,24001
age_1_2y,"ORLEANS,NY",105,50.5,0,36073
age_1_2y,"CHAVES,NM",105,60,0,35005
age_1_2y,"HART,GA",98,60.2,0,13147
age_1_2y,"WESTCHESTER,NY",98,32.7,0,36119
age_1_2y,"CARROLL,TN",83,66.3,0,47017
age_1_2y,"OCONEE,GA",86,69.8,0,13219
age_1_2y,"WARREN,NY",88,45.5,0,36113
age_1_2y,"WORCESTER,MD",90,46.7,0,24047
age_1_2y,"MUSCOGEE,GA",97,55.7,0,13215
age_1_2y,"HOODRIVER,OR",92,75,0,41027
age_1_2y,"QUEENANNES,MD",99,44.4,0,NA
age_1_2y,"PENNINGTON,MN",75,64,0,27113
age_1_2y,"FULTON,NY",100,41,0,36035
age_1_2y,"WASCO,OR",90,66.7,0,41065
age_1_2y,"BERNALILLO,NM",89,47.2,0,35001
age_1_2y,"RABUN,GA",85,44.7,0,13241
age_1_2y,"SENECA,NY",76,55.3,0,36099
age_1_2y,"PICKENS,GA",75,34.7,0,13227
age_1_2y,"YATES,NY",80,73.8,0,36123
age_1_2y,"POLK,OR",84,54.8,0,41053
age_1_2y,"SEQUATCHIE,TN",77,37.7,0,47153
age_1_2y,"WYOMING,NY",81,58,0,36121
age_1_2y,"CLEARWATER,MN",80,63.8,0,27029
age_1_2y,"BAKER,OR",79,59.5,0,41001
age_1_2y,"CARROLL,MD",94,53.2,0,24013
age_1_2y,"MORROW,OR",107,63.6,0,41049
age_1_2y,"MOFFAT,CO",93,64.5,0,08081
age_1_2y,"ROCK,MN",81,81.5,0,27133
age_1_2y,"DOUGLAS,OR",86,44.2,0,41019
age_1_2y,"KOOCHICHING,MN",66,69.7,0,27071
age_1_2y,"ELBERT,CO",86,59.3,0,08039
age_1_2y,"LAUDERDALE,TN",88,85.2,0,47097
age_1_2y,"BUTTS,GA",81,55.6,0,13035
age_1_2y,"PINE,MN",76,68.4,0,27115
age_1_2y,"AITKIN,MN",65,64.6,0,27001
age_1_2y,"MARSHALL,MN",70,65.7,0,27089
age_1_2y,"CAMDEN,GA",76,42.1,0,13039
age_1_2y,"TELLER,CO",68,36.8,0,08119
age_1_2y,"MADISON,GA",55,65.5,0,13195
age_1_2y,"SCHUYLER,NY",61,78.7,0,36097
age_1_2y,"ESSEX,NY",61,62.3,0,36031
age_1_2y,"TOMPKINS,NY",50,54,0,36109
age_1_2y,"FREDERICK,MD",62,48.4,0,24021
age_1_2y,"RHEA,TN",83,49.4,0,47143
age_1_2y,"CURRY,NM",70,70,0,35009
age_1_2y,"MADISON,NY",49,65.3,0,36053
age_1_2y,"UNICOI,TN",76,72.4,0,47171
age_1_2y,"KENT,MD",71,53.5,0,24029
age_1_2y,"SWIFT,MN",57,68.4,0,27151
age_1_2y,"BIBB,GA",66,53,0,13021
age_1_2y,"SOMERSET,MD",67,46.3,0,24039
age_1_2y,"FARIBAULT,MN",69,39.1,0,27043
age_1_2y,"MARTIN,MN",61,70.5,0,27091
age_1_2y,"SANBENITO,CA",53,56.6,0,06069
age_1_2y,"HARALSON,GA",58,60.3,0,13143
age_1_2y,"HOUSTON,GA",60,40,0,13153
age_1_2y,"NORMAN,MN",48,66.7,0,27107
age_1_2y,"MARION,TN",56,44.6,0,47115
age_1_2y,"PLACER,CA",56,42.9,0,06061
age_1_2y,"CARVER,MN",57,50.9,0,27019
age_1_2y,"FREMONT,CO",58,41.4,0,08043
age_1_2y,"WEAKLEY,TN",50,46,0,47183
age_1_2y,"MORGAN,CO",66,59.1,0,08087
age_1_2y,"ROOSEVELT,NM",61,78.7,0,35041
age_1_2y,"SHASTA,CA",55,58.2,0,06089
age_1_2y,"MEEKER,MN",46,50,0,27093
age_1_2y,"WILKIN,MN",55,85.5,0,27167
age_1_2y,"BLEDSOE,TN",56,50,0,47007
age_1_2y,"DICKSON,TN",73,43.8,0,47043
age_1_2y,"TIPTON,TN",49,59.2,0,47167
age_1_2y,"RENVILLE,MN",49,55.1,0,27129
age_1_2y,"GREENE,GA",53,64.2,0,13133
age_1_2y,"SANLUISOBISPO,CA",53,39.6,0,06079
age_1_2y,"COTTONWOOD,MN",44,47.7,0,27033
age_1_2y,"LAKE,CA",47,76.6,0,06033
age_1_2y,"CROCKETT,TN",55,41.8,0,47033
age_1_2y,"HARNEY,OR",45,60,0,41025
age_1_2y,"GARFIELD,CO",53,45.3,0,08045
age_1_2y,"MONTGOMERY,NY",43,62.8,0,36057
age_1_2y,"BERRIEN,GA",44,47.7,0,13019
age_1_2y,"MAHNOMEN,MN",38,44.7,0,27087
age_1_2y,"JOHNSON,TN",49,61.2,0,47091
age_1_2y,"MCNAIRY,TN",37,NA,0,47109
age_1_2y,"TILLAMOOK,OR",39,53.8,0,41057
age_1_2y,"BENTON,TN",40,42.5,0,47005
age_1_2y,"JACKSON,MN",42,69,0,27063
age_1_2y,"MURRAY,MN",48,75,0,27101
age_1_2y,"FILLMORE,MN",35,62.9,0,27045
age_1_2y,"DELNORTE,CA",36,72.2,0,06015
age_1_2y,"HARDEMAN,TN",41,48.8,0,47069
age_1_2y,"HUMPHREYS,TN",45,55.6,0,47085
age_1_2y,"OBION,TN",34,41.2,0,47131
age_1_2y,"CHESTER,TN",39,38.5,0,47023
age_1_2y,"CAYUGA,NY",37,64.9,0,36011
age_1_2y,"GILMER,GA",46,39.1,0,13123
age_1_2y,"SISKIYOU,CA",43,69.8,0,06093
age_1_2y,"HENDERSON,TN",38,36.8,0,47077
age_1_2y,"HENRY,TN",36,63.9,0,47079
age_1_2y,"KITTSON,MN",47,74.5,0,27069
age_1_2y,"MCDUFFIE,GA",43,51.2,0,13189
age_1_2y,"MORGAN,GA",44,70.5,0,13211
age_1_2y,"CHIPPEWA,MN",27,51.9,0,27023
age_1_2y,"MERIWETHER,GA",39,61.5,0,13199
age_1_2y,"DOUGHERTY,GA",39,38.5,0,13095
age_1_2y,"GRANT,MN",38,60.5,0,27051
age_1_2y,"LYON,MN",40,65,0,27083
age_1_2y,"ELBERT,GA",30,76.7,0,13105
age_1_2y,"WALLOWA,OR",18,NA,0,41063
age_1_2y,"DADE,GA",36,58.3,0,13083
age_1_2y,"LAMAR,GA",34,52.9,0,13171
age_1_2y,"OTERO,CO",41,51.2,0,08089
age_1_2y,"PUTNAM,GA",29,48.3,0,13237
age_1_2y,"POLK,TN",42,35.7,0,47139
age_1_2y,"PIPESTONE,MN",38,68.4,0,27117
age_1_2y,"JOSEPHINE,OR",22,NA,0,41033
age_1_2y,"YELLOWMEDICINE,MN",26,61.5,0,27173
age_1_2y,"PIKE,GA",29,44.8,0,13231
age_1_2y,"CHATTOOGA,GA",30,56.7,0,13055
age_1_2y,"EAGLE,CO",34,NA,0,08037
age_1_2y,"RICE,MN",24,NA,0,27131
age_1_2y,"COOK,GA",22,NA,0,13075
age_1_2y,"MCMINN,TN",21,NA,0,47107
age_1_2y,"HAYWOOD,TN",40,67.5,0,47075
age_1_2y,"LANIER,GA",33,NA,0,13173
age_1_2y,"OSWEGO,NY",26,73.1,0,36075
age_1_2y,"SUMMIT,CO",40,42.5,0,08117
age_1_2y,"TRAVERSE,MN",28,75,0,27155
age_1_2y,"ELDORADO,CA",27,48.1,0,06017
age_1_2y,"ROCKLAND,NY",27,NA,0,36087
age_1_2y,"LAKE,MN",24,62.5,0,27075
age_1_2y,"OGLETHORPE,GA",36,61.1,0,13221
age_1_2y,"CHATHAM,GA",28,57.1,0,13051
age_1_2y,"YUBA,CA",23,69.6,0,06115
age_1_2y,"BURKE,GA",24,50,0,13033
age_1_2y,"REDLAKE,MN",25,72,0,27125
age_1_2y,"CURRY,OR",20,NA,0,41015
age_1_2y,"UNION,GA",28,50,0,13291
age_1_2y,"PITKIN,CO",27,44.4,0,08097
age_1_2y,"GRAND,CO",23,82.6,0,08049
age_1_2y,"HARRIS,GA",25,56,0,13145
age_1_2y,"KANABEC,MN",19,NA,0,27065
age_1_2y,"GUNNISON,CO",29,NA,0,08051
age_1_2y,"JASPER,GA",21,52.4,0,13159
age_1_2y,"BROOKS,GA",24,NA,0,13027
age_1_2y,"CLATSOP,OR",12,NA,0,41007
age_1_2y,"FANNIN,GA",21,NA,0,13111
age_1_2y,"DUTCHESS,NY",17,NA,0,36027
age_1_2y,"LAKEOFTHEWOODS,MN",17,76.5,0,27077
age_1_2y,"LAPLATA,CO",20,NA,0,08067
age_1_2y,"JEFFERSON,GA",17,NA,0,13163
age_1_2y,"LAKE,OR",16,NA,0,41037
age_1_2y,"LOGAN,CO",20,70,0,08075
age_1_2y,"CHAFFEE,CO",21,52.4,0,08015
age_1_2y,"GRUNDY,TN",23,47.8,0,47061
age_1_2y,"UPSON,GA",18,NA,0,13293
age_1_2y,"BULLOCH,GA",18,NA,0,13031
age_1_2y,"DELTA,CO",17,NA,0,08029
age_1_2y,"PARK,CO",23,56.5,0,08093
age_1_2y,"SANDOVAL,NM",14,NA,0,35043
age_1_2y,"ALAMOSA,CO",13,NA,0,08003
age_1_2y,"LAURENS,GA",15,NA,0,13175
age_1_2y,"BLUEEARTH,MN",17,NA,0,27013
age_1_2y,"COCKE,TN",13,NA,0,47029
age_1_2y,"GRANT,OR",18,NA,0,41023
age_1_2y,"POPE,MN",15,NA,0,27121
age_1_2y,"STEVENS,MN",18,66.7,0,27149
age_1_2y,"BALDWIN,GA",21,NA,0,13009
age_1_2y,"COLQUITT,GA",15,NA,0,13071
age_1_2y,"MARIPOSA,CA",14,NA,0,06043
age_1_2y,"WASHINGTON,GA",20,NA,0,13303
age_1_2y,"BIGSTONE,MN",12,NA,0,27011
age_1_2y,"JEFFERSON,NY",5,NA,1,36045
age_1_2y,"UNION,OR",13,NA,0,41061
age_1_2y,"HEARD,GA",18,NA,0,13149
age_1_2y,"MONTROSE,CO",14,NA,0,08085
age_1_2y,"RIOGRANDE,CO",18,NA,0,08105
age_1_2y,"LAKE,TN",21,57.1,0,47095
age_1_2y,"LASANIMAS,CO",16,NA,0,08071
age_1_2y,"MONROE,GA",21,NA,0,13207
age_1_2y,"LASSEN,CA",20,85,0,06035
age_1_2y,"THOMAS,GA",19,57.9,0,13275
age_1_2y,"TIFT,GA",21,NA,0,13277
age_1_2y,"CATTARAUGUS,NY",15,80,0,36009
age_1_2y,"DECATUR,TN",13,NA,0,47039
age_1_2y,"WABASHA,MN",5,NA,1,27157
age_1_2y,"WILKES,GA",16,NA,0,13317
age_1_2y,"HANCOCK,TN",13,NA,0,47067
age_1_2y,"PROWERS,CO",5,NA,1,08099
age_1_2y,"SUTTER,CA",5,NA,1,06101
age_1_2y,"MEIGS,TN",20,NA,0,47121
age_1_2y,"COFFEE,GA",15,NA,0,13069
age_1_2y,"DECATUR,GA",17,NA,0,13087
age_1_2y,"HARDIN,TN",13,NA,0,47071
age_1_2y,"IMPERIAL,CA",16,68.8,0,06025
age_1_2y,"TUOLUMNE,CA",5,NA,1,06109
age_1_2y,"LINCOLN,MN",16,NA,0,27081
age_1_2y,"MONTGOMERY,TN",12,NA,0,47125
age_1_2y,"SAINTMARYS,MD",12,NA,0,NA
age_1_2y,"CALVERT,MD",5,NA,1,24009
age_1_2y,"EMANUEL,GA",5,NA,1,13107
age_1_2y,"FAYETTE,TN",12,NA,0,47047
age_1_2y,"PEACH,GA",13,NA,0,13225
age_1_2y,"SIERRA,NM",12,NA,0,35051
age_1_2y,"CLINCH,GA",14,NA,0,13065
age_1_2y,"HAMBLEN,TN",5,NA,1,47063
age_1_2y,"LACQUIPARLE,MN",5,NA,1,27073
age_1_2y,"CHARLTON,GA",5,NA,1,13049
age_1_2y,"DODGE,GA",5,NA,1,13091
age_1_2y,"CHAUTAUQUA,NY",5,NA,1,36013
age_1_2y,"ECHOLS,GA",11,NA,0,13101
age_1_2y,"HICKMAN,TN",13,NA,0,47081
age_1_2y,"LEE,GA",12,NA,0,13177
age_1_2y,"LINCOLN,GA",13,NA,0,13181
age_1_2y,"MONTEZUMA,CO",5,NA,1,08083
age_1_2y,"TOWNS,GA",11,NA,0,13281
age_1_2y,"GILPIN,CO",11,NA,0,08047
age_1_2y,"KITCARSON,CO",5,NA,1,08063
age_1_2y,"OTERO,NM",5,NA,1,35035
age_1_2y,"YUMA,CO",5,NA,1,08125
age_1_2y,"LINCOLN,CO",5,NA,1,08073
age_1_2y,"OLMSTED,MN",12,NA,0,27109
age_1_2y,"BROWN,MN",12,NA,0,27015
age_1_2y,"FREEBORN,MN",18,NA,0,27047
age_1_2y,"GRADY,GA",11,NA,0,13131
age_1_2y,"CLEARCREEK,CO",13,NA,0,08019
age_1_2y,"CRISP,GA",5,NA,1,13081
age_1_2y,"EDDY,NM",11,NA,0,35015
age_1_2y,"GLYNN,GA",5,NA,1,13127
age_1_2y,"KNOX,TN",11,NA,0,47093
age_1_2y,"LIBERTY,GA",5,NA,1,13179
age_1_2y,"VENTURA,CA",5,NA,1,06111
age_1_2y,"COLUSA,CA",5,NA,1,06011
age_1_2y,"HANCOCK,GA",5,NA,1,13141
age_1_2y,"HUERFANO,CO",11,NA,0,08055
age_1_2y,"CUMBERLAND,TN",5,NA,1,47035
age_1_2y,"MCLEOD,MN",5,NA,1,27085
age_1_2y,"MODOC,CA",5,NA,1,06049
age_1_2y,"GOODHUE,MN",5,NA,1,27049
age_1_2y,"WHEELER,OR",5,NA,1,41069
age_1_2y,"BRYAN,GA",5,NA,1,13029
age_1_2y,"DAVIDSON,TN",5,NA,1,47037
age_1_2y,"DONAANA,NM",5,NA,1,35013
age_1_2y,"FRANKLIN,TN",5,NA,1,47051
age_1_2y,"HAMILTON,NY",5,NA,1,36041
age_1_2y,"LESUEUR,MN",5,NA,1,27079
age_1_2y,"WASHINGTON,CO",12,NA,0,08121
age_1_2y,"BUTTE,CA",5,NA,1,06007
age_1_2y,"EFFINGHAM,GA",5,NA,1,13103
age_1_2y,"SHERMAN,OR",5,NA,1,41055
age_1_2y,"SUMTER,GA",5,NA,1,13261
age_1_2y,"HOUSTON,TN",5,NA,1,47083
age_1_2y,"JEFFERSON,TN",5,NA,1,47089
age_1_2y,"TOOMBS,GA",5,NA,1,13279
age_1_2y,"WATONWAN,MN",5,NA,1,27165
age_1_2y,"JACKSON,CO",5,NA,1,08057
age_1_2y,"JENKINS,GA",5,NA,1,13165
age_1_2y,"JONES,GA",5,NA,1,13169
age_1_2y,"VALENCIA,NM",5,NA,1,35061
age_1_2y,"BENHILL,GA",5,NA,1,13017
age_1_2y,"GLASCOCK,GA",5,NA,1,13125
age_1_2y,"LAKE,CO",5,NA,1,08065
age_1_2y,"LEWIS,NY",5,NA,1,36049
age_1_2y,"NEVADA,CA",5,NA,1,06057
age_1_2y,"RUTHERFORD,TN",5,NA,1,47149
age_1_2y,"SANJUAN,NM",5,NA,1,35045
age_1_2y,"SANTAFE,NM",5,NA,1,35049
age_1_2y,"SCREVEN,GA",5,NA,1,13251
age_1_2y,"TALBOT,GA",5,NA,1,13263
age_1_2y,"WORTH,GA",5,NA,1,13321
age_1_2y,"ARCHULETA,CO",5,NA,1,08007
age_1_2y,"STEELE,MN",5,NA,1,27147
age_1_2y,"WARE,GA",5,NA,1,13299
age_1_2y,"BLECKLEY,GA",5,NA,1,13023
age_1_2y,"CONEJOS,CO",5,NA,1,08021
age_1_2y,"GILLIAM,OR",5,NA,1,41021
age_1_2y,"NICOLLET,MN",5,NA,1,27103
age_1_2y,"TATTNALL,GA",5,NA,1,13267
age_1_2y,"WARREN,GA",5,NA,1,13301
age_1_2y,"BENT,CO",5,NA,1,08011
age_1_2y,"MONO,CA",5,NA,1,06051
age_1_2y,"MONROE,TN",5,NA,1,47123
age_1_2y,"PLUMAS,CA",5,NA,1,06063
age_1_2y,"TURNER,GA",5,NA,1,13287
age_1_2y,"WILLIAMSON,TN",5,NA,1,47187
