Session Title,Percentage with Immunizations: PCV and Number of Patients by County of Residence,
"BIG STONE, MN",79.1%,43
"ANOKA, MN",75.9%,5122
"SCOTT, MN",79.4%,612
"LARIMER, CO",73.9%,7586
"CLATSOP, OR",80%,30
"SAINT LOUIS, MN",74%,5051
"MAHNOMEN, MN",78.1%,169
"CHISAGO, MN",74.7%,1480
"STEELE, MN",-,15
"LAKE, OR",66.4%,110
"MARTIN, MN",76.8%,272
"LINN, OR",71.1%,4290
"GRANT, OR",69.1%,55
"MESA, CO",60.2%,525
"HOOD RIVER, OR",76.1%,444
"MILLE LACS, MN",73%,803
"MARION, OR",68.8%,1487
"BAKER, OR",69.1%,440
"LANE, OR",74.4%,769
"DOUGLAS, CO",78.1%,4667
"DESCHUTES, OR",75%,7222
"CASS, MN",69%,877
"CROOK, OR",72.8%,991
"ITASCA, MN",75.9%,1490
"BENTON, OR",77.2%,1069
"WASHINGTON, MN",75.8%,3107
"MORRISON, MN",77.3%,925
"WHEELER, OR",67.9%,28
"FILLMORE, MN",69%,129
"LAKE, CO",-,12
"DOUGLAS, OR",74.2%,198
"JACKSON, OR",73.2%,1139
"WADENA, MN",64.9%,535
"PIPESTONE, MN",77.6%,143
"CROW WING, MN",70.5%,1749
"CHAFFEE, CO",-,11
"CUSTER, CO",-,10 or fewer
"WALLOWA, OR",67.4%,138
"CLACKAMAS, OR",72.5%,6917
"NOBLES, MN",79.1%,788
"GOODHUE, MN",67.6%,34
"CHIPPEWA, MN",79.7%,153
"WRIGHT, MN",74.6%,1834
"HOUSTON, MN",72.1%,501
"KITTSON, MN",76.2%,143
"RIO BLANCO, CO",-,17
"TELLER, CO",61.8%,173
"WASECA, MN",-,10 or fewer
"POLK, MN",70.3%,1366
"TODD, MN",78.7%,826
"NORMAN, MN",71.9%,263
"RENVILLE, MN",80.6%,237
"MARSHALL, MN",72.1%,294
"LINCOLN, MN",72%,50
"WASHINGTON, CO",-,10 or fewer
"PENNINGTON, MN",72.3%,278
"STEVENS, MN",81.1%,74
"KOOCHICHING, MN",66.8%,370
"HUBBARD, MN",67.8%,698
"SAN MIGUEL, CO",-,10 or fewer
"CLEARWATER, MN",71%,348
"TRAVERSE, MN",76.9%,121
"WILKIN, MN",78.2%,257
"KANDIYOHI, MN",80.7%,2029
"BECKER, MN",67.8%,1222
"POPE, MN",84.1%,63
"BELTRAMI, MN",73.6%,1777
"CLAY, MN",74.1%,3148
"STEARNS, MN",80.3%,6428
"REDWOOD, MN",75.4%,495
"SWIFT, MN",80.2%,262
"SHERBURNE, MN",74%,2369
"FREEBORN, MN",72.7%,44
"RED LAKE, MN",78.3%,106
"OTTER TAIL, MN",73%,2032
"BENTON, MN",78.6%,1356
"MURRAY, MN",75.4%,175
"GRANT, MN",76%,154
"YELLOW MEDICINE, MN",77.7%,130
"BROWN, MN",64%,25
"CHEYENNE, CO",-,10 or fewer
"COSTILLA, CO",-,10 or fewer
"RIO GRANDE, CO",-,10 or fewer
"MEEKER, MN",73%,226
"KLAMATH, OR",69.1%,1354
"FARIBAULT, MN",75.4%,264
"ROCK, MN",71%,379
"NICOLLET, MN",-,10 or fewer
"WATONWAN, MN",59.1%,22
"LYON, MN",77.9%,136
"DOUGLAS, MN",76.8%,535
"TILLAMOOK, OR",74.3%,105
"CONEJOS, CO",-,10 or fewer
"JACKSON, MN",73.6%,159
"COTTONWOOD, MN",70.7%,191
"CROWLEY, CO",-,10 or fewer
"DELTA, CO",-,32
"MOWER, MN",-,10 or fewer
"ARCHULETA, CO",-,10 or fewer
"BENT, CO",-,10 or fewer
"MINERAL, CO",-,10 or fewer
"OURAY, CO",-,10 or fewer
"SAN JUAN, CO",-,10 or fewer
None of the above,73.7%,5837
Total,76.2%,218049
