indicator,year,fips,location,age,vaccine,percent,population,percentPartiallyVaccinated,percentNonMedicalExemption,percentMedicalExemption,percentDiseaseHistory  
"Childhood immunizations","2022","27003","Anoka  ","Childhood (24-35 months)","PCV","77.8","4455","null","null","null","null"
"Childhood immunizations","2023","27003","Anoka  ","Childhood (24-35 months)","PCV","76.6","4448","null","null","null","null"
"Childhood immunizations","2015","27005","Becker","Childhood (24-35 months)","PCV","83.5","474","null","null","null","null"
"Childhood immunizations","2016","27005","Becker","Childhood (24-35 months)","PCV","78.6","462","null","null","null","null"
"Childhood immunizations","2017","27005","Becker","Childhood (24-35 months)","PCV","86.1","395","null","null","null","null"
"Childhood immunizations","2018","27005","Becker","Childhood (24-35 months)","PCV","82.7","378","null","null","null","null"
"Childhood immunizations","2019","27005","Becker","Childhood (24-35 months)","PCV","83.5","411","null","null","null","null"
"Childhood immunizations","2020","27005","Becker  ","Childhood (24-35 months)","PCV","84.6","384","null","null","null","null"
"Childhood immunizations","2021","27005","Becker  ","Childhood (24-35 months)","PCV","81.9","398","null","null","null","null"
"Childhood immunizations","2022","27005","Becker  ","Childhood (24-35 months)","PCV","79.4","388","null","null","null","null"
"Childhood immunizations","2023","27005","Becker  ","Childhood (24-35 months)","PCV","77.3","387","null","null","null","null"
"Childhood immunizations","2015","27007","Beltrami","Childhood (24-35 months)","PCV","80.3","757","null","null","null","null"
"Childhood immunizations","2016","27007","Beltrami","Childhood (24-35 months)","PCV","79.6","735","null","null","null","null"
"Childhood immunizations","2017","27007","Beltrami","Childhood (24-35 months)","PCV","78.5","647","null","null","null","null"
"Childhood immunizations","2018","27007","Beltrami","Childhood (24-35 months)","PCV","79.2","717","null","null","null","null"
"Childhood immunizations","2019","27007","Beltrami","Childhood (24-35 months)","PCV","78.8","647","null","null","null","null"
"Childhood immunizations","2020","27007","Beltrami  ","Childhood (24-35 months)","PCV","78.9","684","null","null","null","null"
"Childhood immunizations","2021","27007","Beltrami  ","Childhood (24-35 months)","PCV","77.1","678","null","null","null","null"
"Childhood immunizations","2022","27007","Beltrami  ","Childhood (24-35 months)","PCV","71.9","612","null","null","null","null"
"Childhood immunizations","2023","27007","Beltrami  ","Childhood (24-35 months)","PCV","73.1","605","null","null","null","null"
"Childhood immunizations","2015","27009","Benton","Childhood (24-35 months)","PCV","79.3","590","null","null","null","null"
"Childhood immunizations","2016","27009","Benton","Childhood (24-35 months)","PCV","88.4","577","null","null","null","null"
"Childhood immunizations","2017","27009","Benton","Childhood (24-35 months)","PCV","85.8","494","null","null","null","null"
"Childhood immunizations","2018","27009","Benton","Childhood (24-35 months)","PCV","87.4","452","null","null","null","null"
"Childhood immunizations","2019","27009","Benton","Childhood (24-35 months)","PCV","86.4","426","null","null","null","null"
"Childhood immunizations","2020","27009","Benton  ","Childhood (24-35 months)","PCV","90.1","433","null","null","null","null"
"Childhood immunizations","2021","27009","Benton  ","Childhood (24-35 months)","PCV","84.7","431","null","null","null","null"
"Childhood immunizations","2022","27009","Benton  ","Childhood (24-35 months)","PCV","81.9","469","null","null","null","null"
"Childhood immunizations","2023","27009","Benton  ","Childhood (24-35 months)","PCV","86.1","489","null","null","null","null"
"Childhood immunizations","2015","27011","Big Stone","Childhood (24-35 months)","PCV","87.9","58","null","null","null","null"
"Childhood immunizations","2016","27011","Big Stone","Childhood (24-35 months)","PCV","92.7","55","null","null","null","null"
"Childhood immunizations","2017","27011","Big Stone","Childhood (24-35 months)","PCV","79.7","64","null","null","null","null"
"Childhood immunizations","2018","27011","Big Stone","Childhood (24-35 months)","PCV","85.7","61","null","null","null","null"
"Childhood immunizations","2019","27011","Big Stone","Childhood (24-35 months)","PCV","78.0","59","null","null","null","null"
"Childhood immunizations","2020","27011","Big Stone  ","Childhood (24-35 months)","PCV","81.1","74","null","null","null","null"
"Childhood immunizations","2021","27011","Big Stone  ","Childhood (24-35 months)","PCV","82.9","70","null","null","null","null"
"Childhood immunizations","2022","27011","Big Stone  ","Childhood (24-35 months)","PCV","83.9","62","null","null","null","null"
"Childhood immunizations","2023","27011","Big Stone  ","Childhood (24-35 months)","PCV","73.1","67","null","null","null","null"
"Childhood immunizations","2015","27013","Blue Earth","Childhood (24-35 months)","PCV","88.8","762","null","null","null","null"
"Childhood immunizations","2016","27013","Blue Earth","Childhood (24-35 months)","PCV","88.4","742","null","null","null","null"
"Childhood immunizations","2017","27013","Blue Earth","Childhood (24-35 months)","PCV","91.6","746","null","null","null","null"
"Childhood immunizations","2018","27013","Blue Earth","Childhood (24-35 months)","PCV","89.3","754","null","null","null","null"
"Childhood immunizations","2019","27013","Blue Earth","Childhood (24-35 months)","PCV","87.5","722","null","null","null","null"
"Childhood immunizations","2020","27013","Blue Earth  ","Childhood (24-35 months)","PCV","88.5","724","null","null","null","null"
"Childhood immunizations","2021","27013","Blue Earth  ","Childhood (24-35 months)","PCV","87.0","754","null","null","null","null"
"Childhood immunizations","2022","27013","Blue Earth  ","Childhood (24-35 months)","PCV","83.5","715","null","null","null","null"
"Childhood immunizations","2023","27013","Blue Earth  ","Childhood (24-35 months)","PCV","85.5","702","null","null","null","null"
"Childhood immunizations","2015","27015","Brown","Childhood (24-35 months)","PCV","88.5","279","null","null","null","null"
"Childhood immunizations","2016","27015","Brown","Childhood (24-35 months)","PCV","88.6","308","null","null","null","null"
"Childhood immunizations","2017","27015","Brown","Childhood (24-35 months)","PCV","88.4","276","null","null","null","null"
"Childhood immunizations","2018","27015","Brown","Childhood (24-35 months)","PCV","89.8","304","null","null","null","null"
"Childhood immunizations","2019","27015","Brown","Childhood (24-35 months)","PCV","88.9","333","null","null","null","null"
"Childhood immunizations","2020","27015","Brown  ","Childhood (24-35 months)","PCV","88.4","259","null","null","null","null"
"Childhood immunizations","2021","27015","Brown  ","Childhood (24-35 months)","PCV","83.9","305","null","null","null","null"
"Childhood immunizations","2022","27015","Brown  ","Childhood (24-35 months)","PCV","85.9","249","null","null","null","null"
"Childhood immunizations","2023","27015","Brown  ","Childhood (24-35 months)","PCV","81.1","286","null","null","null","null"
"Childhood immunizations","2015","27017","Carlton","Childhood (24-35 months)","PCV","88.0","392","null","null","null","null"
"Childhood immunizations","2016","27017","Carlton","Childhood (24-35 months)","PCV","83.2","399","null","null","null","null"
"Childhood immunizations","2017","27017","Carlton","Childhood (24-35 months)","PCV","82.9","414","null","null","null","null"
"Childhood immunizations","2018","27017","Carlton","Childhood (24-35 months)","PCV","88.5","398","null","null","null","null"
"Childhood immunizations","2019","27017","Carlton","Childhood (24-35 months)","PCV","88.2","391","null","null","null","null"
"Childhood immunizations","2020","27017","Carlton  ","Childhood (24-35 months)","PCV","88.3","385","null","null","null","null"
"Childhood immunizations","2021","27017","Carlton  ","Childhood (24-35 months)","PCV","88.2","414","null","null","null","null"
"Childhood immunizations","2022","27017","Carlton  ","Childhood (24-35 months)","PCV","88.4","378","null","null","null","null"
"Childhood immunizations","2023","27017","Carlton  ","Childhood (24-35 months)","PCV","85.4","364","null","null","null","null"
"Childhood immunizations","2015","27019","Carver","Childhood (24-35 months)","PCV","48.5","1335","null","null","null","null"
"Childhood immunizations","2016","27019","Carver","Childhood (24-35 months)","PCV","58.0","1396","null","null","null","null"
"Childhood immunizations","2017","27019","Carver","Childhood (24-35 months)","PCV","78.4","1391","null","null","null","null"
"Childhood immunizations","2018","27019","Carver","Childhood (24-35 months)","PCV","82.7","1432","null","null","null","null"
"Childhood immunizations","2019","27019","Carver","Childhood (24-35 months)","PCV","86.6","1278","null","null","null","null"
"Childhood immunizations","2020","27019","Carver  ","Childhood (24-35 months)","PCV","84.8","1365","null","null","null","null"
"Childhood immunizations","2021","27019","Carver  ","Childhood (24-35 months)","PCV","84.4","1301","null","null","null","null"
"Childhood immunizations","2022","27019","Carver  ","Childhood (24-35 months)","PCV","84.0","1327","null","null","null","null"
"Childhood immunizations","2023","27019","Carver  ","Childhood (24-35 months)","PCV","80.6","1357","null","null","null","null"
"Childhood immunizations","2015","27021","Cass","Childhood (24-35 months)","PCV","64.9","359","null","null","null","null"
"Childhood immunizations","2016","27021","Cass","Childhood (24-35 months)","PCV","76.9","407","null","null","null","null"
"Childhood immunizations","2017","27021","Cass","Childhood (24-35 months)","PCV","76.6","355","null","null","null","null"
"Childhood immunizations","2018","27021","Cass","Childhood (24-35 months)","PCV","75.6","337","null","null","null","null"
"Childhood immunizations","2019","27021","Cass","Childhood (24-35 months)","PCV","77.1","305","null","null","null","null"
"Childhood immunizations","2020","27021","Cass  ","Childhood (24-35 months)","PCV","76.9","294","null","null","null","null"
"Childhood immunizations","2021","27021","Cass  ","Childhood (24-35 months)","PCV","70.2","268","null","null","null","null"
"Childhood immunizations","2022","27021","Cass  ","Childhood (24-35 months)","PCV","69.9","306","null","null","null","null"
"Childhood immunizations","2023","27021","Cass  ","Childhood (24-35 months)","PCV","73.6","284","null","null","null","null"
"Childhood immunizations","2015","27023","Chippewa","Childhood (24-35 months)","PCV","78.8","165","null","null","null","null"
"Childhood immunizations","2016","27023","Chippewa","Childhood (24-35 months)","PCV","88.2","170","null","null","null","null"
"Childhood immunizations","2017","27023","Chippewa","Childhood (24-35 months)","PCV","81.6","179","null","null","null","null"
"Childhood immunizations","2018","27023","Chippewa","Childhood (24-35 months)","PCV","81.5","174","null","null","null","null"
"Childhood immunizations","2019","27023","Chippewa","Childhood (24-35 months)","PCV","80.7","155","null","null","null","null"
"Childhood immunizations","2020","27023","Chippewa  ","Childhood (24-35 months)","PCV","84.4","154","null","null","null","null"
"Childhood immunizations","2021","27023","Chippewa  ","Childhood (24-35 months)","PCV","71.6","148","null","null","null","null"
"Childhood immunizations","2022","27023","Chippewa  ","Childhood (24-35 months)","PCV","79.2","144","null","null","null","null"
"Childhood immunizations","2023","27023","Chippewa  ","Childhood (24-35 months)","PCV","70.2","171","null","null","null","null"
"Childhood immunizations","2015","27025","Chisago","Childhood (24-35 months)","PCV","81.1","576","null","null","null","null"
"Childhood immunizations","2016","27025","Chisago","Childhood (24-35 months)","PCV","70.8","568","null","null","null","null"
"Childhood immunizations","2017","27025","Chisago","Childhood (24-35 months)","PCV","78.6","667","null","null","null","null"
"Childhood immunizations","2018","27025","Chisago","Childhood (24-35 months)","PCV","84.1","699","null","null","null","null"
"Childhood immunizations","2019","27025","Chisago","Childhood (24-35 months)","PCV","84.6","713","null","null","null","null"
"Childhood immunizations","2020","27025","Chisago  ","Childhood (24-35 months)","PCV","84.7","652","null","null","null","null"
"Childhood immunizations","2021","27025","Chisago  ","Childhood (24-35 months)","PCV","80.0","715","null","null","null","null"
"Childhood immunizations","2022","27025","Chisago  ","Childhood (24-35 months)","PCV","80.1","628","null","null","null","null"
"Childhood immunizations","2023","27025","Chisago  ","Childhood (24-35 months)","PCV","77.6","597","null","null","null","null"
"Childhood immunizations","2015","27027","Clay","Childhood (24-35 months)","PCV","82.0","852","null","null","null","null"
"Childhood immunizations","2016","27027","Clay","Childhood (24-35 months)","PCV","78.1","987","null","null","null","null"
"Childhood immunizations","2017","27027","Clay","Childhood (24-35 months)","PCV","92.8","884","null","null","null","null"
"Childhood immunizations","2018","27027","Clay","Childhood (24-35 months)","PCV","88.5","880","null","null","null","null"
"Childhood immunizations","2019","27027","Clay","Childhood (24-35 months)","PCV","88.4","906","null","null","null","null"
"Childhood immunizations","2020","27027","Clay  ","Childhood (24-35 months)","PCV","87.6","728","null","null","null","null"
"Childhood immunizations","2021","27027","Clay  ","Childhood (24-35 months)","PCV","82.6","828","null","null","null","null"
"Childhood immunizations","2022","27027","Clay  ","Childhood (24-35 months)","PCV","84.9","841","null","null","null","null"
"Childhood immunizations","2023","27027","Clay  ","Childhood (24-35 months)","PCV","75.0","869","null","null","null","null"
"Childhood immunizations","2015","27029","Clearwater","Childhood (24-35 months)","PCV","76.4","123","null","null","null","null"
"Childhood immunizations","2016","27029","Clearwater","Childhood (24-35 months)","PCV","71.0","100","null","null","null","null"
"Childhood immunizations","2017","27029","Clearwater","Childhood (24-35 months)","PCV","75.8","120","null","null","null","null"
"Childhood immunizations","2018","27029","Clearwater","Childhood (24-35 months)","PCV","78.1","104","null","null","null","null"
"Childhood immunizations","2019","27029","Clearwater","Childhood (24-35 months)","PCV","77.0","126","null","null","null","null"
"Childhood immunizations","2020","27029","Clearwater  ","Childhood (24-35 months)","PCV","77.5","102","null","null","null","null"
"Childhood immunizations","2021","27029","Clearwater  ","Childhood (24-35 months)","PCV","70.0","120","null","null","null","null"
"Childhood immunizations","2022","27029","Clearwater  ","Childhood (24-35 months)","PCV","62.3","106","null","null","null","null"
"Childhood immunizations","2023","27029","Clearwater  ","Childhood (24-35 months)","PCV","55.8","104","null","null","null","null"
"Childhood immunizations","2015","27031","Cook","Childhood (24-35 months)","PCV","84.4","45","null","null","null","null"
"Childhood immunizations","2016","27031","Cook","Childhood (24-35 months)","PCV","81.0","42","null","null","null","null"
"Childhood immunizations","2017","27031","Cook","Childhood (24-35 months)","PCV","82.1","56","null","null","null","null"
"Childhood immunizations","2018","27031","Cook","Childhood (24-35 months)","PCV","83.6","53","null","null","null","null"
"Childhood immunizations","2019","27031","Cook","Childhood (24-35 months)","PCV","76.5","51","null","null","null","null"
"Childhood immunizations","2020","27031","Cook  ","Childhood (24-35 months)","PCV","77.8","45","null","null","null","null"
"Childhood immunizations","2021","27031","Cook  ","Childhood (24-35 months)","PCV","85.7","35","null","null","null","null"
"Childhood immunizations","2022","27031","Cook  ","Childhood (24-35 months)","PCV","90.3","31","null","null","null","null"
"Childhood immunizations","2023","27031","Cook  ","Childhood (24-35 months)","PCV","80.9","47","null","null","null","null"
"Childhood immunizations","2015","27033","Cottonwood","Childhood (24-35 months)","PCV","66.4","152","null","null","null","null"
"Childhood immunizations","2016","27033","Cottonwood","Childhood (24-35 months)","PCV","77.5","173","null","null","null","null"
"Childhood immunizations","2017","27033","Cottonwood","Childhood (24-35 months)","PCV","78.4","162","null","null","null","null"
"Childhood immunizations","2018","27033","Cottonwood","Childhood (24-35 months)","PCV","80.0","160","null","null","null","null"
"Childhood immunizations","2019","27033","Cottonwood","Childhood (24-35 months)","PCV","75.9","137","null","null","null","null"
"Childhood immunizations","2020","27033","Cottonwood  ","Childhood (24-35 months)","PCV","73.8","141","null","null","null","null"
"Childhood immunizations","2021","27033","Cottonwood  ","Childhood (24-35 months)","PCV","75.0","140","null","null","null","null"
"Childhood immunizations","2022","27033","Cottonwood  ","Childhood (24-35 months)","PCV","70.8","137","null","null","null","null"
"Childhood immunizations","2023","27033","Cottonwood  ","Childhood (24-35 months)","PCV","73.8","149","null","null","null","null"
"Childhood immunizations","2015","27035","Crow Wing","Childhood (24-35 months)","PCV","71.7","745","null","null","null","null"
"Childhood immunizations","2016","27035","Crow Wing","Childhood (24-35 months)","PCV","81.8","731","null","null","null","null"
"Childhood immunizations","2017","27035","Crow Wing","Childhood (24-35 months)","PCV","82.4","801","null","null","null","null"
"Childhood immunizations","2018","27035","Crow Wing","Childhood (24-35 months)","PCV","81.9","789","null","null","null","null"
"Childhood immunizations","2019","27035","Crow Wing","Childhood (24-35 months)","PCV","81.8","768","null","null","null","null"
"Childhood immunizations","2020","27035","Crow Wing  ","Childhood (24-35 months)","PCV","84.3","707","null","null","null","null"
"Childhood immunizations","2021","27035","Crow Wing  ","Childhood (24-35 months)","PCV","80.5","667","null","null","null","null"
"Childhood immunizations","2022","27035","Crow Wing  ","Childhood (24-35 months)","PCV","76.7","669","null","null","null","null"
"Childhood immunizations","2023","27035","Crow Wing  ","Childhood (24-35 months)","PCV","76.9","654","null","null","null","null"
"Childhood immunizations","2015","27037","Dakota","Childhood (24-35 months)","PCV","78.4","5610","null","null","null","null"
"Childhood immunizations","2016","27037","Dakota","Childhood (24-35 months)","PCV","77.9","5798","null","null","null","null"
"Childhood immunizations","2017","27037","Dakota","Childhood (24-35 months)","PCV","75.5","5638","null","null","null","null"
"Childhood immunizations","2018","27037","Dakota","Childhood (24-35 months)","PCV","79.8","5634","null","null","null","null"
"Childhood immunizations","2019","27037","Dakota","Childhood (24-35 months)","PCV","81.4","5405","null","null","null","null"
"Childhood immunizations","2020","27037","Dakota  ","Childhood (24-35 months)","PCV","79.4","5330","null","null","null","null"
"Childhood immunizations","2021","27037","Dakota  ","Childhood (24-35 months)","PCV","76.4","5432","null","null","null","null"
"Childhood immunizations","2022","27037","Dakota  ","Childhood (24-35 months)","PCV","76.0","5447","null","null","null","null"
"Childhood immunizations","2023","27037","Dakota  ","Childhood (24-35 months)","PCV","73.7","5213","null","null","null","null"
"Childhood immunizations","2015","27039","Dodge","Childhood (24-35 months)","PCV","88.3","248","null","null","null","null"
"Childhood immunizations","2016","27039","Dodge","Childhood (24-35 months)","PCV","84.0","257","null","null","null","null"
"Childhood immunizations","2017","27039","Dodge","Childhood (24-35 months)","PCV","80.2","293","null","null","null","null"
"Childhood immunizations","2018","27039","Dodge","Childhood (24-35 months)","PCV","83.9","269","null","null","null","null"
"Childhood immunizations","2019","27039","Dodge","Childhood (24-35 months)","PCV","86.2","268","null","null","null","null"
"Childhood immunizations","2020","27039","Dodge  ","Childhood (24-35 months)","PCV","84.6","260","null","null","null","null"
"Childhood immunizations","2021","27039","Dodge  ","Childhood (24-35 months)","PCV","72.6","314","null","null","null","null"
"Childhood immunizations","2022","27039","Dodge  ","Childhood (24-35 months)","PCV","82.1","268","null","null","null","null"
"Childhood immunizations","2023","27039","Dodge  ","Childhood (24-35 months)","PCV","80.5","261","null","null","null","null"
"Childhood immunizations","2015","27041","Douglas","Childhood (24-35 months)","PCV","80.2","440","null","null","null","null"
"Childhood immunizations","2016","27041","Douglas","Childhood (24-35 months)","PCV","83.0","447","null","null","null","null"
"Childhood immunizations","2017","27041","Douglas","Childhood (24-35 months)","PCV","85.4","444","null","null","null","null"
"Childhood immunizations","2018","27041","Douglas","Childhood (24-35 months)","PCV","85.5","484","null","null","null","null"
"Childhood immunizations","2019","27041","Douglas","Childhood (24-35 months)","PCV","87.3","442","null","null","null","null"
"Childhood immunizations","2020","27041","Douglas  ","Childhood (24-35 months)","PCV","83.3","478","null","null","null","null"
"Childhood immunizations","2021","27041","Douglas  ","Childhood (24-35 months)","PCV","81.5","448","null","null","null","null"
"Childhood immunizations","2022","27041","Douglas  ","Childhood (24-35 months)","PCV","81.1","434","null","null","null","null"
"Childhood immunizations","2023","27041","Douglas  ","Childhood (24-35 months)","PCV","75.9","424","null","null","null","null"
"Childhood immunizations","2015","27043","Faribault","Childhood (24-35 months)","PCV","86.4","169","null","null","null","null"
"Childhood immunizations","2016","27043","Faribault","Childhood (24-35 months)","PCV","86.3","146","null","null","null","null"
"Childhood immunizations","2017","27043","Faribault","Childhood (24-35 months)","PCV","88.4","155","null","null","null","null"
"Childhood immunizations","2018","27043","Faribault","Childhood (24-35 months)","PCV","86.8","164","null","null","null","null"
"Childhood immunizations","2019","27043","Faribault","Childhood (24-35 months)","PCV","84.6","162","null","null","null","null"
"Childhood immunizations","2020","27043","Faribault  ","Childhood (24-35 months)","PCV","85.3","143","null","null","null","null"
"Childhood immunizations","2021","27043","Faribault  ","Childhood (24-35 months)","PCV","80.0","160","null","null","null","null"
"Childhood immunizations","2022","27043","Faribault  ","Childhood (24-35 months)","PCV","75.8","149","null","null","null","null"
"Childhood immunizations","2023","27043","Faribault  ","Childhood (24-35 months)","PCV","78.7","127","null","null","null","null"
"Childhood immunizations","2015","27045","Fillmore","Childhood (24-35 months)","PCV","70.0","253","null","null","null","null"
"Childhood immunizations","2016","27045","Fillmore","Childhood (24-35 months)","PCV","66.7","279","null","null","null","null"
"Childhood immunizations","2017","27045","Fillmore","Childhood (24-35 months)","PCV","73.2","287","null","null","null","null"
"Childhood immunizations","2018","27045","Fillmore","Childhood (24-35 months)","PCV","73.5","298","null","null","null","null"
"Childhood immunizations","2019","27045","Fillmore","Childhood (24-35 months)","PCV","77.1","305","null","null","null","null"
"Childhood immunizations","2020","27045","Fillmore  ","Childhood (24-35 months)","PCV","73.5","283","null","null","null","null"
"Childhood immunizations","2021","27045","Fillmore  ","Childhood (24-35 months)","PCV","69.5","341","null","null","null","null"
"Childhood immunizations","2022","27045","Fillmore  ","Childhood (24-35 months)","PCV","73.3","236","null","null","null","null"
"Childhood immunizations","2023","27045","Fillmore  ","Childhood (24-35 months)","PCV","66.8","247","null","null","null","null"
"Childhood immunizations","2015","27047","Freeborn","Childhood (24-35 months)","PCV","82.8","407","null","null","null","null"
"Childhood immunizations","2016","27047","Freeborn","Childhood (24-35 months)","PCV","79.6","417","null","null","null","null"
"Childhood immunizations","2017","27047","Freeborn","Childhood (24-35 months)","PCV","83.0","353","null","null","null","null"
"Childhood immunizations","2018","27047","Freeborn","Childhood (24-35 months)","PCV","81.3","331","null","null","null","null"
"Childhood immunizations","2019","27047","Freeborn","Childhood (24-35 months)","PCV","75.1","349","null","null","null","null"
"Childhood immunizations","2020","27047","Freeborn  ","Childhood (24-35 months)","PCV","78.3","346","null","null","null","null"
"Childhood immunizations","2021","27047","Freeborn  ","Childhood (24-35 months)","PCV","75.9","328","null","null","null","null"
"Childhood immunizations","2022","27047","Freeborn  ","Childhood (24-35 months)","PCV","82.1","352","null","null","null","null"
"Childhood immunizations","2023","27047","Freeborn  ","Childhood (24-35 months)","PCV","73.5","343","null","null","null","null"
"Childhood immunizations","2015","27049","Goodhue","Childhood (24-35 months)","PCV","80.6","547","null","null","null","null"
"Childhood immunizations","2016","27049","Goodhue","Childhood (24-35 months)","PCV","81.1","524","null","null","null","null"
"Childhood immunizations","2017","27049","Goodhue","Childhood (24-35 months)","PCV","83.2","566","null","null","null","null"
"Childhood immunizations","2018","27049","Goodhue","Childhood (24-35 months)","PCV","84.2","561","null","null","null","null"
"Childhood immunizations","2019","27049","Goodhue","Childhood (24-35 months)","PCV","80.4","593","null","null","null","null"
"Childhood immunizations","2020","27049","Goodhue  ","Childhood (24-35 months)","PCV","81.1","518","null","null","null","null"
"Childhood immunizations","2021","27049","Goodhue  ","Childhood (24-35 months)","PCV","74.5","646","null","null","null","null"
"Childhood immunizations","2022","27049","Goodhue  ","Childhood (24-35 months)","PCV","78.9","527","null","null","null","null"
"Childhood immunizations","2023","27049","Goodhue  ","Childhood (24-35 months)","PCV","79.4","510","null","null","null","null"
"Childhood immunizations","2015","27051","Grant","Childhood (24-35 months)","PCV","85.7","77","null","null","null","null"
"Childhood immunizations","2016","27051","Grant","Childhood (24-35 months)","PCV","84.7","85","null","null","null","null"
"Childhood immunizations","2017","27051","Grant","Childhood (24-35 months)","PCV","80.7","88","null","null","null","null"
"Childhood immunizations","2018","27051","Grant","Childhood (24-35 months)","PCV","89.9","79","null","null","null","null"
"Childhood immunizations","2019","27051","Grant","Childhood (24-35 months)","PCV","73.9","69","null","null","null","null"
"Childhood immunizations","2020","27051","Grant  ","Childhood (24-35 months)","PCV","82.8","64","null","null","null","null"
"Childhood immunizations","2021","27051","Grant  ","Childhood (24-35 months)","PCV","82.8","64","null","null","null","null"
"Childhood immunizations","2022","27051","Grant  ","Childhood (24-35 months)","PCV","79.5","83","null","null","null","null"
"Childhood immunizations","2023","27051","Grant  ","Childhood (24-35 months)","PCV","74.2","62","null","null","null","null"
"Childhood immunizations","2015","27053","Hennepin","Childhood (24-35 months)","PCV","69.3","17349","null","null","null","null"
"Childhood immunizations","2016","27053","Hennepin","Childhood (24-35 months)","PCV","68.2","17473","null","null","null","null"
"Childhood immunizations","2017","27053","Hennepin","Childhood (24-35 months)","PCV","68.5","17858","null","null","null","null"
"Childhood immunizations","2018","27053","Hennepin","Childhood (24-35 months)","PCV","77.2","18086","null","null","null","null"
"Childhood immunizations","2019","27053","Hennepin","Childhood (24-35 months)","PCV","81.3","17171","null","null","null","null"
"Childhood immunizations","2020","27053","Hennepin  ","Childhood (24-35 months)","PCV","80.5","16481","null","null","null","null"
"Childhood immunizations","2021","27053","Hennepin  ","Childhood (24-35 months)","PCV","74.9","15806","null","null","null","null"
"Childhood immunizations","2022","27053","Hennepin  ","Childhood (24-35 months)","PCV","74.9","15253","null","null","null","null"
"Childhood immunizations","2023","27053","Hennepin  ","Childhood (24-35 months)","PCV","72.8","14836","null","null","null","null"
"Childhood immunizations","2015","27055","Houston","Childhood (24-35 months)","PCV","89.6","201","null","null","null","null"
"Childhood immunizations","2016","27055","Houston","Childhood (24-35 months)","PCV","88.3","213","null","null","null","null"
"Childhood immunizations","2017","27055","Houston","Childhood (24-35 months)","PCV","89.0","209","null","null","null","null"
"Childhood immunizations","2018","27055","Houston","Childhood (24-35 months)","PCV","85.3","192","null","null","null","null"
"Childhood immunizations","2019","27055","Houston","Childhood (24-35 months)","PCV","88.7","194","null","null","null","null"
"Childhood immunizations","2020","27055","Houston  ","Childhood (24-35 months)","PCV","83.0","218","null","null","null","null"
"Childhood immunizations","2021","27055","Houston  ","Childhood (24-35 months)","PCV","86.7","143","null","null","null","null"
"Childhood immunizations","2022","27055","Houston  ","Childhood (24-35 months)","PCV","89.7","194","null","null","null","null"
