County,Vaccine,Colorado NIS Rate,US NIS Rates,HP2020 Goals,Period,Percent Group,Up-To-Date Percent,State Rate
Prowers,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",86% - 90%,89.54,74.31024485107302
Baca,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",86% - 90%,87.69,74.31024485107302
Otero,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",81% - 85%,82.12,74.31024485107302
Montrose,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",81% - 85%,82.5,74.31024485107302
Kiowa,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",81% - 85%,84,74.31024485107302
Jefferson,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",81% - 85%,81.22,74.31024485107302
Denver,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",81% - 85%,81.82,74.31024485107302
Park,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,71.08,74.31024485107302
Las Animas,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,73.66,74.31024485107302
Larimer,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,72.38,74.31024485107302
La Plata,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,76.83,74.31024485107302
Kit Carson,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,80,74.31024485107302
Jackson,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,73.68,74.31024485107302
Fremont,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,71.47,74.31024485107302
Douglas,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,79.61,74.31024485107302
Custer,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,76.92,74.31024485107302
Costilla,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,78.05,74.31024485107302
Cheyenne,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,73.68,74.31024485107302
Bent,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,72.22,74.31024485107302
Arapahoe,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,80.99,74.31024485107302
Alamosa,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,73.82,74.31024485107302
Adams,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,78.46,74.31024485107302
Weld,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,69.56,74.31024485107302
Washington,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,64.38,74.31024485107302
Summit,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,66.74,74.31024485107302
San Miguel,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,66.38,74.31024485107302
Saguache,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,67.57,74.31024485107302
Rio Grande,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,69.34,74.31024485107302
Rio Blanco,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,67.1,74.31024485107302
Pueblo,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,65.06,74.31024485107302
Ouray,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,66.67,74.31024485107302
Montezuma,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,67.5,74.31024485107302
Mineral,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,63.64,74.31024485107302
Mesa,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,61.52,74.31024485107302
Logan,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,62.72,74.31024485107302
Lincoln,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,68.91,74.31024485107302
Lake,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,61.18,74.31024485107302
Huerfano,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,68.49,74.31024485107302
Gunnison,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,70.45,74.31024485107302
Gilpin,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,68.06,74.31024485107302
Garfield,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,68.12,74.31024485107302
Elbert,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,69.45,74.31024485107302
El Paso,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,63.71,74.31024485107302
Eagle,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,66.73,74.31024485107302
Dolores,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,70.83,74.31024485107302
Delta,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,70.33,74.31024485107302
Conejos,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,66.14,74.31024485107302
Broomfield,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,70.81,74.31024485107302
Boulder,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,67.43,74.31024485107302
Archuleta,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,61.97,74.31024485107302
Teller,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",50% - 60%,60.93,74.31024485107302
Sedgwick,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",50% - 60%,53.19,74.31024485107302
San Juan,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",50% - 60%,58.82,74.31024485107302
Pitkin,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",50% - 60%,59.81,74.31024485107302
Phillips,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",50% - 60%,59.43,74.31024485107302
Morgan,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",50% - 60%,57.63,74.31024485107302
Moffat,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",50% - 60%,52.98,74.31024485107302
Hinsdale,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",50% - 60%,60,74.31024485107302
Grand,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",50% - 60%,60.5,74.31024485107302
Crowley,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",50% - 60%,59.62,74.31024485107302
Clear Creek,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",50% - 60%,58.45,74.31024485107302
Chaffee,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",50% - 60%,57.3,74.31024485107302
Yuma,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",< 50%,44.13,74.31024485107302
Routt,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",< 50%,45.26,74.31024485107302
Prowers,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",86% - 90%,90.54,75.12759747645221
Kiowa,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",81% - 85%,85.19,75.12759747645221
Jefferson,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",81% - 85%,83.6,75.12759747645221
Denver,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",81% - 85%,81.92,75.12759747645221
Baca,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",81% - 85%,82.81,75.12759747645221
Weld,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",71% - 80%,71.93,75.12759747645221
Otero,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",71% - 80%,79.86,75.12759747645221
Montrose,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",71% - 80%,80.24,75.12759747645221
Las Animas,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",71% - 80%,74.66,75.12759747645221
Larimer,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",71% - 80%,76.63,75.12759747645221
La Plata,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",71% - 80%,77.91,75.12759747645221
Kit Carson,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",71% - 80%,75.48,75.12759747645221
Fremont,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",71% - 80%,71.32,75.12759747645221
Douglas,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",71% - 80%,80.15,75.12759747645221
Dolores,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",71% - 80%,75,75.12759747645221
Costilla,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",71% - 80%,73.17,75.12759747645221
Cheyenne,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",71% - 80%,73.91,75.12759747645221
Broomfield,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",71% - 80%,74.52,75.12759747645221
Arapahoe,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",71% - 80%,80.76,75.12759747645221
Alamosa,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",71% - 80%,73.44,75.12759747645221
Adams,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",71% - 80%,77.86,75.12759747645221
Washington,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,63.41,75.12759747645221
Summit,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,63.57,75.12759747645221
San Miguel,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,67.92,75.12759747645221
Saguache,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,68.82,75.12759747645221
Rio Grande,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,70.86,75.12759747645221
Rio Blanco,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,64.94,75.12759747645221
Pueblo,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,66.27,75.12759747645221
Pitkin,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,66.16,75.12759747645221
Park,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,68.48,75.12759747645221
Ouray,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,69.57,75.12759747645221
Montezuma,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,67,75.12759747645221
Mineral,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,66.67,75.12759747645221
Mesa,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,65.64,75.12759747645221
Lincoln,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,67.52,75.12759747645221
Lake,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,62.3,75.12759747645221
Jackson,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,62.5,75.12759747645221
Hinsdale,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,66.67,75.12759747645221
Gunnison,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,68.99,75.12759747645221
Gilpin,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,63.24,75.12759747645221
Garfield,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,67.01,75.12759747645221
Elbert,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,70.26,75.12759747645221
El Paso,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,64.51,75.12759747645221
Eagle,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,70.29,75.12759747645221
Delta,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,70.49,75.12759747645221
Custer,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,69.05,75.12759747645221
Crowley,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,70.37,75.12759747645221
Conejos,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,69.23,75.12759747645221
Boulder,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,69.55,75.12759747645221
Bent,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,70.59,75.12759747645221
Archuleta,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",61% - 70%,63.56,75.12759747645221
Teller,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",50% - 60%,56.96,75.12759747645221
San Juan,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",50% - 60%,57.14,75.12759747645221
Routt,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",50% - 60%,50.33,75.12759747645221
Phillips,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",50% - 60%,57.76,75.12759747645221
Morgan,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",50% - 60%,59.05,75.12759747645221
Logan,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",50% - 60%,54.17,75.12759747645221
Huerfano,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",50% - 60%,60.64,75.12759747645221
Grand,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",50% - 60%,55.96,75.12759747645221
Clear Creek,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",50% - 60%,57.14,75.12759747645221
Chaffee,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",50% - 60%,53.21,75.12759747645221
Yuma,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",< 50%,39.01,75.12759747645221
Sedgwick,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",< 50%,39.58,75.12759747645221
Moffat,4+ PCV13,79.6%,82.4%,90%,"July 1, 2016 - December 31, 2016",< 50%,49.71,75.12759747645221
Kiowa,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",> 96%,100,80.3925900549007
Baca,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",91% - 95%,93.55,80.3925900549007
Prowers,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",86% - 90%,89.36,80.3925900549007
Jefferson,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",86% - 90%,86.8,80.3925900549007
Douglas,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",86% - 90%,86.46,80.3925900549007
Crowley,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",86% - 90%,86.96,80.3925900549007
Costilla,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",86% - 90%,89.66,80.3925900549007
Cheyenne,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",86% - 90%,88.24,80.3925900549007
Pitkin,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",81% - 85%,85.03,80.3925900549007
Montrose,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",81% - 85%,83.98,80.3925900549007
Larimer,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",81% - 85%,82.9,80.3925900549007
La Plata,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",81% - 85%,82.47,80.3925900549007
Denver,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",81% - 85%,84.75,80.3925900549007
Broomfield,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",81% - 85%,82.68,80.3925900549007
Arapahoe,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",81% - 85%,83.66,80.3925900549007
Adams,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",81% - 85%,82.28,80.3925900549007
Weld,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,79.43,80.3925900549007
Washington,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,73.68,80.3925900549007
Routt,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,72.73,80.3925900549007
Rio Grande,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,75.58,80.3925900549007
Pueblo,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,72.13,80.3925900549007
Ouray,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,77.5,80.3925900549007
Otero,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,79.94,80.3925900549007
Montezuma,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,71.33,80.3925900549007
Mesa,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,74.61,80.3925900549007
Lincoln,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,73.12,80.3925900549007
Las Animas,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,79.05,80.3925900549007
Kit Carson,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,79.5,80.3925900549007
Jackson,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,75,80.3925900549007
Huerfano,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,71.88,80.3925900549007
Hinsdale,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,71.43,80.3925900549007
Gunnison,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,76.64,80.3925900549007
Garfield,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,80.08,80.3925900549007
Elbert,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,79.24,80.3925900549007
El Paso,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,72.19,80.3925900549007
Eagle,4+ PCV13,79.6%,82.4%,90%,"January 1, 2017 - June 30, 2017",71% - 80%,78.81,80.3925900549007
